,word,tf_idf,sponsor_id
55,assistant,0.11271380473453932,A000371
56,hydrogen,0.10557276719867978,A000371
57,line credit,0.09678690332740314,A000371
58,obligor,0.09647592488082851,A000371
59,credit,0.08506020406661798,A000371
60,bifia program,0.192886005037572,A000372
61,bifia,0.192886005037572,A000372
62,project,0.17757490053814193,A000372
63,secured loan,0.14287590491188082,A000372
64,assistant secretary,0.1294623905681643,A000372
65,assistant,0.11271380473453932,A000372
66,hydrogen,0.10557276719867978,A000372
67,line credit,0.09678690332740314,A000372
68,obligor,0.09647592488082851,A000372
69,credit,0.08506020406661798,A000372
70,bifia program,0.192886005037572,A000375
71,bifia,0.192886005037572,A000375
72,project,0.17757490053814193,A000375
73,secured loan,0.14287590491188082,A000375
74,assistant secretary,0.1294623905681643,A000375
75,assistant,0.11271380473453932,A000375
76,hydrogen,0.10557276719867978,A000375
77,line credit,0.09678690332740314,A000375
78,obligor,0.09647592488082851,A000375
79,credit,0.08506020406661798,A000375
80,bifia program,0.192886005037572,A000376
81,bifia,0.192886005037572,A000376
82,project,0.17757490053814193,A000376
83,secured loan,0.14287590491188082,A000376
84,assistant secretary,0.1294623905681643,A000376
85,assistant,0.11271380473453932,A000376
86,hydrogen,0.10557276719867978,A000376
87,line credit,0.09678690332740314,A000376
88,obligor,0.09647592488082851,A000376
89,credit,0.08506020406661798,A000376
90,bifia program,0.192886005037572,A000377
91,bifia,0.192886005037572,A000377
92,project,0.17757490053814193,A000377
93,secured loan,0.14287590491188082,A000377
94,assistant secretary,0.1294623905681643,A000377
95,assistant,0.11271380473453932,A000377
96,hydrogen,0.10557276719867978,A000377
97,line credit,0.09678690332740314,A000377
98,obligor,0.09647592488082851,A000377
99,credit,0.08506020406661798,A000377
100,bifia program,0.192886005037572,A000378
101,bifia,0.192886005037572,A000378
102,project,0.17757490053814193,A000378
103,secured loan,0.14287590491188082,A000378
104,assistant secretary,0.1294623905681643,A000378
105,assistant,0.11271380473453932,A000378
106,hydrogen,0.10557276719867978,A000378
107,line credit,0.09678690332740314,A000378
108,obligor,0.09647592488082851,A000378
109,credit,0.08506020406661798,A000378
110,bifia program,0.192886005037572,B000490
111,bifia,0.192886005037572,B000490
112,project,0.17757490053814193,B000490
113,secured loan,0.14287590491188082,B000490
114,assistant secretary,0.1294623905681643,B000490
115,assistant,0.11271380473453932,B000490
116,hydrogen,0.10557276719867978,B000490
117,line credit,0.09678690332740314,B000490
118,obligor,0.09647592488082851,B000490
119,credit,0.08506020406661798,B000490
120,bifia program,0.192886005037572,B000574
121,bifia,0.192886005037572,B000574
122,project,0.17757490053814193,B000574
123,secured loan,0.14287590491188082,B000574
124,assistant secretary,0.1294623905681643,B000574
125,assistant,0.11271380473453932,B000574
126,hydrogen,0.10557276719867978,B000574
127,line credit,0.09678690332740314,B000574
128,obligor,0.09647592488082851,B000574
129,credit,0.08506020406661798,B000574
130,bifia program,0.192886005037572,B000575
131,bifia,0.192886005037572,B000575
132,project,0.17757490053814193,B000575
133,secured loan,0.14287590491188082,B000575
134,assistant secretary,0.1294623905681643,B000575
135,assistant,0.11271380473453932,B000575
136,hydrogen,0.10557276719867978,B000575
137,line credit,0.09678690332740314,B000575
138,obligor,0.09647592488082851,B000575
139,credit,0.08506020406661798,B000575
140,bifia program,0.192886005037572,B000668
141,bifia,0.192886005037572,B000668
142,project,0.17757490053814193,B000668
143,secured loan,0.14287590491188082,B000668
144,assistant secretary,0.1294623905681643,B000668
145,assistant,0.11271380473453932,B000668
146,hydrogen,0.10557276719867978,B000668
147,line credit,0.09678690332740314,B000668
148,obligor,0.09647592488082851,B000668
149,credit,0.08506020406661798,B000668
150,bifia program,0.192886005037572,B000740
151,bifia,0.192886005037572,B000740
152,project,0.17757490053814193,B000740
153,secured loan,0.14287590491188082,B000740
154,assistant secretary,0.1294623905681643,B000740
155,assistant,0.11271380473453932,B000740
156,hydrogen,0.10557276719867978,B000740
157,line credit,0.09678690332740314,B000740
158,obligor,0.09647592488082851,B000740
159,credit,0.08506020406661798,B000740
